attraction_name,matched_review_destinations,match_type,review_count,review_evidence_available
Kadiyanlena eco resort,['Kadiyanlena eco resort'],exact,348,True
Kalutara Bodhiya,['Kalutara Bodhiya'],exact,292,True
Kande sudu ella water falls,['Kande sudu ella water falls'],exact,13,True
Kathiresan Pillayar kovil,['Kathiresan Pillayar kovil'],exact,151,True
Katugas Ella Waterfall,['Katugas Ella Waterfall'],exact,109,True
Kayman's Gate,"[""Kayman's Gate""]",exact,27,True
Kelaniya Raja Maha Viharaya,['Kelaniya Raja Maha Viharaya'],exact,192,True
Kiddies paradise children's park,"[""Kiddies paradise children's park""]",exact,47,True
Kirala Kele Sanctuary,['Kirala Kele Sanctuary'],exact,27,True
Kirinda Beach,['Kirinda Beach'],exact,187,True
Kirindi Ella Waterfall,['Kirindi Ella Waterfall'],exact,135,True
Kolapathana waterfall,['Kolapathana waterfall'],exact,200,True
Kombukara Nature Pool and Secre,['Kombukara Nature Pool and Secre'],exact,103,True
Kurunagela camp site,['Kurunagela camp site'],exact,16,True
Kurunagela clock tower,['Kurunagela clock tower'],exact,602,True
Kurunagela lake jogging path,['Kurunagela lake jogging path'],exact,16,True
Kurundu Oya Ella Falls,['Kurundu Oya Ella Falls'],exact,47,True
Lagoon boat tour and Bird watching with the beautiful nature,['Lagoon boat tour and Bird watching with the beautiful nature'],exact,11,True
Lake round kurunagela,['Lake round kurunagela'],exact,257,True
Lanka Ella - Waterfall,['Lanka Ella - Waterfall'],exact,123,True
Laxapana waterfall,['Laxapana waterfall'],exact,377,True
Lighthouse - Galle,['Lighthouse - Galle'],exact,196,True
Lighthouse - Hambantota,['Lighthouse - Hambantota'],exact,12,True
Lover's leap waterfall,"[""Lover's leap waterfall""]",exact,262,True
Lucky land spice garden,['Lucky land spice garden'],exact,23,True
Madanagiri Ella,['Madanagiri Ella'],exact,15,True
Madiha Beach,['Madiha Beach'],exact,154,True
Madunagala Hot Water Spring,['Madunagala Hot Water Spring'],exact,220,True
Magampura Ruhunu Heritage Museum,['Magampura Ruhunu Heritage Museum'],exact,10,True
Mahamodara Beach Park & Marine Walk,['Mahamodara Beach Park & Marine Walk'],exact,101,True
Mapalana Ella Falls,['Mapalana Ella Falls'],exact,71,True
Marakkala Ella,['Marakkala Ella'],exact,13,True
Maraluwawa raja maha viharaya,['Maraluwawa raja maha viharaya'],exact,60,True
Maritime Museum,['Maritime Museum'],exact,208,True
Maruthamunai beach,['Maruthamunai beach'],exact,102,True
Matale town -  view point,['Matale town -  view point'],exact,28,True
Matara Beach Park,['Matara Beach Park'],exact,151,True
Matara Bodhiya,['Matara Bodhiya'],exact,193,True
Matara Fort,['Matara Fort'],exact,147,True
Matara Paravi Duwa Beach,['Matara Paravi Duwa Beach'],exact,96,True
Mayan Water Park,['Mayan Water Park'],exact,174,True
"Meeran Mosque, Galle Fort","['Meeran Mosque, Galle Fort']",exact,177,True
Minee Ella,['Minee Ella'],exact,55,True
Mirijjawila Botanical Gardens - South Gate,['Mirijjawila Botanical Gardens - South Gate'],exact,16,True
Mohini Falls,['Mohini Falls'],exact,89,True
Moon plains,['Moon plains'],exact,728,True
Mooray falls,['Mooray falls'],exact,48,True
Mount vernon waterfall,['Mount vernon waterfall'],exact,18,True
Muthiyangana Raja Maha Vihara,['Muthiyangana Raja Maha Vihara'],exact,279,True
Nalanda gedige,['Nalanda gedige'],exact,471,True
Narangala Hill,['Narangala Hill'],exact,91,True
Narangala Mountain,['Narangala Mountain'],exact,151,True
National Art Gallery,['National Art Gallery'],exact,46,True
National Meuseum Galle,['National Meuseum Galle'],exact,93,True
National spice garden of sri lanka,['National spice garden of sri lanka'],exact,66,True
Nilwala Crocodile Safari,['Nilwala Crocodile Safari'],exact,27,True
Old Dutch Market,['Old Dutch Market'],exact,35,True
Old Parliament Building,['Old Parliament Building'],exact,41,True
Padiwita ambalama,['Padiwita ambalama'],exact,57,True
Pallewela Waterfall,['Pallewela Waterfall'],exact,40,True
Panagala,['Panagala'],exact,9,True
Pandiruppu,['Pandiruppu'],exact,5,True
Pareiyan Ella Falls,['Pareiyan Ella Falls'],exact,44,True
Parewi Duwa Temple,['Parewi Duwa Temple'],exact,261,True
Parrot Rock,['Parrot Rock'],exact,205,True
Pasindu's Snorkeling Centre,"[""Pasindu's Snorkeling Centre""]",exact,14,True
Pettah Floating Market,['Pettah Floating Market'],exact,209,True
"Pitawala pathana , riverston","['Pitawala pathana , riverston']",exact,527,True
Porawagala Viewpoint,['Porawagala Viewpoint'],exact,83,True
Pothgul Vihara,['Pothgul Vihara'],exact,51,True
Prabhawa Mountain Day Viewpoint,['Prabhawa Mountain Day Viewpoint'],exact,26,True
Puwakpitiya Oya,['Puwakpitiya Oya'],exact,16,True
Queen Viharamahadevi Statue,['Queen Viharamahadevi Statue'],exact,12,True
Rahas ella waterfalls,['Rahas ella waterfalls'],exact,52,True
Raja & the Whales,['Raja & the Whales'],exact,269,True
Rajanawa Waterfall,['Rajanawa Waterfall'],exact,50,True
Rambadagalla monaragala temple,['Rambadagalla monaragala temple'],exact,8,True
Rangala natural pool,['Rangala natural pool'],exact,253,True
Rathnapura National Museum,['Rathnapura National Museum'],exact,81,True
Ravan Ella Waterfall,['Ravan Ella Waterfall'],exact,58,True
Ravana Waterfall,['Ravana Waterfall'],exact,218,True
Ravana's Cave,"[""Ravana's Cave""]",exact,278,True
Rekawa Turtle Beach,['Rekawa Turtle Beach'],exact,43,True
Ridiyagama Safari Park,['Ridiyagama Safari Park'],exact,408,True
Riverston,['Riverston'],exact,779,True
Rukmani Devi Park,['Rukmani Devi Park'],exact,197,True
Rumassala Sanctuary,['Rumassala Sanctuary'],exact,84,True
Rumassala South Beach,['Rumassala South Beach'],exact,61,True
Sambodhi Pagoda,['Sambodhi Pagoda'],exact,150,True
Saniro Dream Paradise,['Saniro Dream Paradise'],exact,215,True
Sathutu Uyana,['Sathutu Uyana'],exact,193,True
Sea corner,['Sea corner'],exact,6,True
Sembuwatta lake,['Sembuwatta lake'],exact,608,True
Sera ella water falls,['Sera ella water falls'],exact,445,True
Shanthipura view point,['Shanthipura view point'],exact,265,True
Single tree hill,['Single tree hill'],exact,234,True
Siri Gautama Sambuddharaja maligawa,['Siri Gautama Sambuddharaja maligawa'],exact,76,True
Sk Town Beach,['Sk Town Beach'],exact,27,True
Snake Farm Weligama (Traditional Farm),['Snake Farm Weligama (Traditional Farm)'],exact,267,True
Sri Kailawasanathan Swami Devasthanam Kovil,['Sri Kailawasanathan Swami Devasthanam Kovil'],exact,117,True
Sri Lanka Planetarium,['Sri Lanka Planetarium'],exact,177,True
Sri Maha Viharaya,['Sri Maha Viharaya'],exact,37,True
Sri Sudharmalaya Buddhist Temple,[],none,0,False
Sri Sumana Saman Devalaya,['Sri Sumana Saman Devalaya'],exact,251,True
Sri muththumari amman kovil,['Sri muththumari amman kovil'],exact,481,True
"St. Anthony's Shrine, Kochchikade","[""St. Anthony's Shrine, Kochchikade""]",exact,264,True
St. Lucia's Cathedral,"[""St. Lucia's Cathedral""]",exact,170,True
St. Mary's Cathedral,"[""St. Mary's Cathedral""]",exact,67,True
Star Fort Matara,['Star Fort Matara'],exact,186,True
Swarnagiri maha viharaya,['Swarnagiri maha viharaya'],exact,93,True
"TURTLE POINT BATHEEGAMA, DiCKWELLA.","['TURTLE POINT BATHEEGAMA, DiCKWELLA.']",exact,43,True
Thalangama Lake,['Thalangama Lake'],exact,198,True
The Palm Rope Swing,['The Palm Rope Swing'],exact,34,True
The Shrine of Our Lady of Matara,['The Shrine of Our Lady of Matara'],exact,197,True
Themali kaan waterfalls,['Themali kaan waterfalls'],exact,13,True
Thepulangoda Waterfall,['Thepulangoda Waterfall'],exact,24,True
To Sripada,['To Sripada'],exact,16,True
Torington park,['Torington park'],exact,56,True
Turtle Bay Activity Center,['Turtle Bay Activity Center'],exact,103,True
Udammita Ambalama,['Udammita Ambalama'],exact,36,True
Upper Rawana,['Upper Rawana'],exact,31,True
Upper kothmale reserovir view point,['Upper kothmale reserovir view point'],exact,20,True
Uva Halpewatte Tea Factory Tour,['Uva Halpewatte Tea Factory Tour'],exact,230,True
V.T. Nanayakkara park,['V.T. Nanayakkara park'],exact,66,True
